行っ	いっ,おこなっ	いく【行く】 おこなう【行う】	https://kotobank.jp/word/%E8%A1%8C%E3%81%8F-431393,https://kotobank.jp/word/%E8%A1%8C%E3%81%86-452043
開く	あく,ひらく	あく【開く】 ひらく【開く】	https://kotobank.jp/word/%E6%98%8E%E3%81%8F-423269,https://kotobank.jp/word/%E9%96%8B%E3%81%8F-601707
開い	あい,ひらい	あく【開く】 ひらく【開く】	https://kotobank.jp/word/%E6%98%8E%E3%81%8F-423269,https://kotobank.jp/word/%E9%96%8B%E3%81%8F-601707
開き	あき,ひらき	あく【開く】 ひらく【開く】	https://kotobank.jp/word/%E6%98%8E%E3%81%8F-423269,https://kotobank.jp/word/%E9%96%8B%E3%81%8F-601707
開か	あか,ひらか	あく【開く】 ひらく【開く】	https://kotobank.jp/word/%E6%98%8E%E3%81%8F-423269,https://kotobank.jp/word/%E9%96%8B%E3%81%8F-601707
開け	あけ,ひらけ	あける【開ける】 ひらける【開ける】	https://kotobank.jp/word/%E6%98%8E%E3%81%91%E3%82%8B-423836,https://kotobank.jp/word/%E9%96%8B%E3%81%91%E3%82%8B-601727
開ける	あける,ひらける	あける【開ける】 ひらける【開ける】	https://kotobank.jp/word/%E6%98%8E%E3%81%91%E3%82%8B-423836,https://kotobank.jp/word/%E9%96%8B%E3%81%91%E3%82%8B-601727
上手	じょうず,うわて,かみて	じょうず【上手】 うわて【上手】 かみて【上手】	https://kotobank.jp/word/%E4%B8%8A%E6%89%8B-162205
下手	へた,したて,しもて	へた【下手】 したて【下手】 しもて【下手】	https://kotobank.jp/word/%E4%B8%8B%E6%89%8B-163485
明日	あした,あす,みょうにち	あした【明日】 あす【明日】 みょうにち【明日】	https://kotobank.jp/word/%E6%98%8E%E6%97%A5-424515
今日	きょう,こんにち	きょう【今日】 こんにち【今日】	https://kotobank.jp/word/%E4%BB%8A%E6%97%A5-477559
生物	せいぶつ,なまもの	せいぶつ【生物】 なまもの【生物】	https://kotobank.jp/word/%E7%94%9F%E7%89%A9-546254
一日	ついたち,いちにち,いちじつ	ついたち【一日】 いちにち【一日】 いちじつ【一日】	https://kotobank.jp/word/%E4%B8%80%E6%97%A5-433373
人気	にんき,ひとけ,じんき	にんき【人気】 ひとけ【人気】 じんき【人気】	https://kotobank.jp/word/%E4%BA%BA%E6%B0%97-110785
